Date,Open,High,Low,Close
05/2021,"4,191.98","4,238.04","4,056.88","4,127.83"
04/2021,"3,992.78","4,218.78","3,992.78","4,181.17"
03/2021,"3,842.51","3,994.41","3,723.34","3,972.89"
02/2021,"3,731.17","3,950.43","3,725.62","3,811.15"
01/2021,"3,764.61","3,870.90","3,662.71","3,714.24"
12/2020,"3,645.87","3,760.20","3,633.40","3,756.07"
11/2020,"3,296.20","3,645.99","3,279.74","3,621.63"
10/2020,"3,385.87","3,549.85","3,233.94","3,269.96"
09/2020,"3,507.44","3,588.11","3,209.45","3,363.00"
08/2020,"3,288.26","3,514.77","3,284.53","3,500.31"
07/2020,"3,105.92","3,279.99","3,101.17","3,271.12"
06/2020,"3,038.78","3,233.13","2,965.66","3,100.29"
05/2020,"2,913.86","3,068.67","2,913.86","3,044.31"
